case,triangle_index,node_1,node_2,node_3,centroid_x,centroid_y,area,minimum_interior_angle_deg,mesh_quality_qc
stochastic_dfn,179,6050,6365,6049,-4.00593416913,-4.97119073374,0.00416558466943,54.2061272336,0.985781664194
stochastic_dfn,180,6362,6366,6364,-3.92676506726,-4.827689409,0.00287368175991,45.148610671,0.920617976918
stochastic_dfn,181,6363,6366,6362,-3.90140546189,-4.87521658768,0.00279389377345,48.6961713656,0.967338171019
stochastic_dfn,182,6364,6366,5339,-3.89806748592,-4.79126256153,0.00278904192857,48.2250381381,0.958630812598
stochastic_dfn,183,4715,1207,6052,-4.9775287112,-3.85483601763,0.00374329226826,42.748538442,0.919831455244
stochastic_dfn,184,6055,1204,3641,-4.97517067576,-4.28749321795,0.00413609643366,45.6567095884,0.949081042394
stochastic_dfn,185,6054,6368,6367,-4.94835484248,-4.13478875476,0.00354335630216,57.4165307673,0.99815709352
stochastic_dfn,186,6054,6367,6053,-4.97274288622,-4.07869011945,0.0045405203152,46.2900731541,0.956218266423
stochastic_dfn,187,6368,6372,6367,-4.90214825392,-4.13954718821,0.00276472953487,51.2629264354,0.968225341836
stochastic_dfn,188,6367,6370,6053,-4.93614931983,-4.04131830943,0.00433414546063,44.2638429962,0.940957526853
stochastic_dfn,189,687,6368,3641,-4.90112398355,-4.22102265375,0.00347711456699,46.4805187791,0.946757329536
stochastic_dfn,190,6053,6369,6052,-4.98000939444,-3.95559502162,0.00333005729719,40.99261558,0.885444220914
stochastic_dfn,191,6055,6368,6054,-4.97561195627,-4.18276830413,0.00406258743605,51.9612407181,0.963543616194
stochastic_dfn,192,6370,6371,4713,-4.83603533225,-4.03550010055,0.00308803250038,44.2762268673,0.940883988769
stochastic_dfn,193,6367,6371,6370,-4.87619208485,-4.06266100841,0.00368824208995,51.0838933469,0.981478521478
stochastic_dfn,194,4714,6370,4713,-4.85104998964,-3.98874244663,0.00344756616758,48.6466132861,0.967113575546
stochastic_dfn,195,4713,6371,688,-4.78274374345,-4.0590600255,0.00308560592487,43.6885799025,0.929817360702
stochastic_dfn,196,4715,6369,4714,-4.91259552805,-3.91747258921,0.00297362696464,48.0520878488,0.93637004035
stochastic_dfn,197,3641,6368,6055,-4.95078263203,-4.23253777882,0.00340360556939,54.489314969,0.993355135577
stochastic_dfn,198,688,6371,3642,-4.78038570801,-4.10302796526,0.00281603127434,47.9061720671,0.96363729484
stochastic_dfn,199,687,6372,6368,-4.87974671923,-4.17601161251,0.00225924786653,47.5410977371,0.964452017909
stochastic_dfn,200,6053,6370,6369,-4.94341582806,-3.99225926124,0.00375602797848,48.4534682697,0.945956319833
stochastic_dfn,201,6052,6369,4715,-4.95753810564,-3.90586951934,0.00256039199356,55.2083614846,0.994060768818
stochastic_dfn,202,3642,6372,687,-4.83436286113,-4.16277650935,0.00218293741317,46.9844868773,0.938936884173
stochastic_dfn,203,6369,6370,4714,-4.89847325046,-3.9668443063,0.00272332976937,54.6690018453,0.991302609428
stochastic_dfn,204,6371,6372,3642,-4.82406427463,-4.12159828377,0.00223414158316,58.4536534855,0.998400400661
stochastic_dfn,205,6367,6372,6371,-4.86657906268,-4.10479125187,0.00271515865486,47.8590860122,0.90704212383
stochastic_dfn,206,3627,6399,6390,-3.33296222594,-4.0835876585,0.00438971318698,50.8810063286,0.981305736994
stochastic_dfn,207,6382,6389,4465,-3.41507552775,-4.70294806522,0.00466480515367,49.1703186214,0.973471843665
stochastic_dfn,208,6377,6384,4918,-3.24005480372,-4.82496056524,0.00568442564315,52.8408970086,0.988474444111
stochastic_dfn,209,4465,6389,1125,-3.4638594972,-4.68712382758,0.00384413046463,49.1284862628,0.944421808051
stochastic_dfn,210,6390,6399,6375,-3.30246321841,-4.11921900328,0.00314920886407,45.1215814525,0.901082420863
stochastic_dfn,211,6377,6419,1854,-3.35296147078,-4.83200753579,0.00411352135249,35.5480112918,0.845911896335
stochastic_dfn,212,4919,6382,6377,-3.30544159929,-4.74181834154,0.00554380388098,54.2683213917,0.984786180262
stochastic_dfn,213,1854,6400,6377,-3.33057544436,-4.87720748675,0.00464077937103,43.4703860495,0.926116787238
stochastic_dfn,214,4919,6377,4918,-3.24853661509,-4.76106331371,0.0055483256522,49.6040903252,0.974345275156
stochastic_dfn,215,5008,393,3133,-3.05704789362,-4.18973214303,0.00385823279635,48.6700253961,0.970648496208
stochastic_dfn,216,578,865,1720,-2.96500611384,-4.72683065677,0.00550418247816,52.2054097307,0.98505718008
stochastic_dfn,217,1330,6404,6379,-3.29409052374,-4.24140342559,0.00329823332725,55.5002696794,0.987527047312
stochastic_dfn,218,1854,6419,4464,-3.3946901624,-4.83588089815,0.0029201025429,35.9653366038,0.797926980946
stochastic_dfn,219,1330,6394,6378,-3.2157276218,-4.28283673725,0.00401562130048,42.8910924389,0.928985653607
stochastic_dfn,220,6416,6422,49,-3.35469213324,-4.43157473832,0.00339375617401,39.4682663047,0.894191362136
stochastic_dfn,221,5008,6413,1991,-3.11246529612,-4.11156595233,0.00343611696223,37.9966464732,0.876836336984
stochastic_dfn,222,2484,6416,49,-3.4148497413,-4.46426431233,0.00375900089287,35.7027482128,0.847450755904
stochastic_dfn,223,6379,6404,6375,-3.29373049713,-4.19450297173,0.00257398710062,42.7878588606,0.92522649909
stochastic_dfn,224,1854,6058,6059,-3.38859257666,-4.96646598657,0.00533076714424,55.5355599824,0.995546709933
stochastic_dfn,225,1854,6385,6058,-3.44284234471,-4.93396779748,0.00554507986294,58.9529626242,0.999583793559
stochastic_dfn,226,6379,6402,1330,-3.33556711325,-4.26553266077,0.00342302520678,46.0747047318,0.952108434946
stochastic_dfn,227,5008,6405,393,-3.09288129157,-4.21714378165,0.00305209507133,38.4569661358,0.882152222943
stochastic_dfn,228,49,6422,2485,-3.34784825644,-4.39139426209,0.00271771358938,35.9812350805,0.826636000897
stochastic_dfn,229,4918,6384,4917,-3.18085630355,-4.83872319852,0.00526375098728,51.6526191236,0.979716934454
stochastic_dfn,230,2251,6387,865,-3.01123940037,-4.62768728451,0.00468639858395,58.1435580128,0.99907063621
stochastic_dfn,231,3131,6383,1503,-3.18148620976,-4.40904895077,0.00321353215998,57.7064937942,0.99822507605
stochastic_dfn,232,5007,393,3132,-3.0545746169,-4.28441458538,0.00250101084822,46.776175454,0.958915169365
stochastic_dfn,233,6383,6394,1330,-3.22845137349,-4.33057312404,0.00387102275944,43.4114778873,0.934611034499
stochastic_dfn,234,6375,6393,6390,-3.25036197288,-4.1261655721,0.00337977932677,47.1608189915,0.9018725253
stochastic_dfn,235,2251,865,3945,-2.9609093454,-4.60750393971,0.00391760549646,48.592151277,0.966670238245
stochastic_dfn,236,89,6392,1354,-3.02508297624,-4.37814467184,0.00244450132988,41.6180076619,0.833405872015
